DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Interest_Rate,UNRATE,Construction_Price,EmployRate,Labour_stats,FEDFUNDS
1987-01-01,63.965,1987,1,37132.0,5.5,6.6,107.6,70.15294,153840800.0,6.43
1987-02-01,64.425,1987,2,37239.333333333336,5.5,6.6,107.9,70.28275,154054200.0,6.1
1987-03-01,64.735,1987,3,37346.666666666664,5.5,6.6,108.1,70.316,154195800.0,6.13
1987-04-01,65.132,1987,4,37454.0,5.5,6.3,108.3,70.50910999999999,154342900.0,6.37
1987-05-01,65.564,1987,5,37531.0,5.5,6.3,108.3,70.8141,154526200.0,6.85
1987-06-01,66.071,1987,6,37608.0,5.5,6.2,108.6,70.59573,154668500.0,6.73
1987-07-01,66.507,1987,7,37685.0,5.5,6.1,109.2,70.79816,154727000.0,6.58
1987-08-01,66.938,1987,8,37869.333333333336,5.5,6.0,109.7,70.9998,154800700.0,6.73
1987-09-01,67.33,1987,9,38053.666666666664,5.95,5.9,110.5,70.91298,154923100.0,7.22
1987-10-01,67.738,1987,10,38238.0,6.0,6.0,111.5,71.10712,155025900.0,7.29
1987-11-01,68.107,1987,11,38278.333333333336,6.0,5.8,112.2,71.16384000000001,155188500.0,6.69
1987-12-01,68.506,1987,12,38318.666666666664,6.0,5.7,112.6,71.29101,155264000.0,6.77
1988-01-01,68.858,1988,1,38359.0,6.0,5.7,113.9,71.31944,155389400.0,6.83
1988-02-01,69.262,1988,2,38500.0,6.0,5.7,114.0,71.37463000000001,155511900.0,6.58
1988-03-01,69.638,1988,3,38641.0,6.0,5.7,114.2,71.28188,155613500.0,6.58
1988-04-01,69.977,1988,4,38782.0,6.0,5.4,114.9,71.51935999999999,155655500.0,6.87
1988-05-01,70.42699999999999,1988,5,38824.0,6.0,5.6,115.2,71.33422,155821300.0,7.09
1988-06-01,70.889,1988,6,38866.0,6.0,5.4,115.3,71.58801,155988800.0,7.51
1988-07-01,71.354,1988,7,38908.0,6.0,5.4,115.9,71.67727,156057600.0,7.75
1988-08-01,71.8,1988,8,39048.0,6.37,5.6,116.1,71.79445,156124700.0,8.01
1988-09-01,72.241,1988,9,39188.0,6.5,5.4,116.3,71.81451,156294000.0,8.19
1988-10-01,72.63600000000001,1988,10,39328.0,6.5,5.4,117.1,71.94527,156404200.0,8.3
1988-11-01,73.071,1988,11,39434.666666666664,6.5,5.3,117.4,72.04404,156514400.0,8.35
1988-12-01,73.465,1988,12,39541.333333333336,6.5,5.3,117.6,72.12003,156622700.0,8.76
1989-01-01,73.947,1989,1,39648.0,6.5,5.4,118.3,72.28027,156756900.0,9.12
1989-02-01,74.383,1989,2,39719.0,6.59,5.2,118.6,72.29569000000001,156821800.0,9.36
1989-03-01,74.778,1989,3,39790.0,7.0,5.0,118.9,72.41478000000001,156872800.0,9.85
1989-04-01,75.085,1989,4,39861.0,7.0,5.2,119.3,72.34369000000001,156920000.0,9.84
1989-05-01,75.306,1989,5,39922.666666666664,7.0,5.2,119.6,72.39124,156991200.0,9.81
1989-06-01,75.479,1989,6,39984.333333333336,7.0,5.3,119.6,72.57095,157013000.0,9.53
1989-07-01,75.657,1989,7,40046.0,7.0,5.2,119.8,72.59119,157102000.0,9.24
1989-08-01,75.835,1989,8,40035.666666666664,7.0,5.2,119.5,72.70403,157282100.0,8.99
1989-09-01,76.056,1989,9,40025.333333333336,7.0,5.3,119.9,72.49825,157626000.0,9.02
1989-10-01,76.283,1989,10,40015.0,7.0,5.3,120.6,72.58706,157659500.0,8.84
1989-11-01,76.521,1989,11,40130.333333333336,7.0,5.4,120.2,72.74308,157795800.0,8.55
1989-12-01,76.705,1989,12,40245.666666666664,7.0,5.4,119.4,72.58896999999999,157907800.0,8.45
1990-01-01,76.89699999999999,1990,1,40361.0,7.0,5.4,119.1,72.48040999999999,159279200.0,8.23
1990-02-01,77.053,1990,2,40368.0,7.0,5.3,119.0,72.44901,159390800.0,8.24
1990-03-01,77.20100000000001,1990,3,40375.0,7.0,5.2,119.6,72.48399,159465900.0,8.28
1990-04-01,77.278,1990,4,40382.0,7.0,5.4,120.1,72.32555,159562800.0,8.26
1990-05-01,77.297,1990,5,40343.333333333336,7.0,5.4,120.1,72.49494,159618000.0,8.18
1990-06-01,77.259,1990,6,40304.666666666664,7.0,5.2,119.5,72.41783000000001,159721200.0,8.29
1990-07-01,77.139,1990,7,40266.0,7.0,5.5,119.7,72.28251,159809600.0,8.15
1990-08-01,77.009,1990,8,40097.0,7.0,5.7,119.5,72.12161,159984600.0,8.13
1990-09-01,76.85,1990,9,39928.0,7.0,5.9,119.8,71.94703,160224200.0,8.2
1990-10-01,76.699,1990,10,39759.0,7.0,5.9,119.6,71.93303,160262800.0,8.11
1990-11-01,76.37,1990,11,39656.333333333336,7.0,6.2,119.7,71.59189,160497500.0,7.81
1990-12-01,76.185,1990,12,39553.666666666664,6.79,6.3,119.7,71.56573,160680400.0,7.31
1991-01-01,75.916,1991,1,39451.0,6.5,6.4,120.0,71.36281,160534100.0,6.91
1991-02-01,75.734,1991,2,39511.333333333336,6.0,6.6,119.9,71.20143,160712500.0,6.25
